split	genre	dataset	year	sid	score	sentence1	sentence2	
tog	hovedtekster	MSRvid	2012 test	203	2.200	En kvinne kjører en motorisert scooter nedover en vei.	En mann kjører på en scooter.	
tog	hovedtekster	MSRvid	2012 test	204	3.000	noen skjærer en grønnsak.	Noen skjærer en tomat.	
tog	hovedtekster	MSRvid	2012 test	205	0,000	En kvinne danser.	En mann snakker.	
tog	hovedtekster	MSRvid	2012 test	207	2.200	En hund slikker opp en babys sikling.	En hund slikker en baby.	
tog	hovedtekster	MSRvid	2012 test	208	0,400	En mann ror båt.	En mann skjærer en tomat.	
tog	hovedtekster	MSRvid	2012 test	210	4.800	En mann kutter opp poteter.	En mann skjærer poteter.	
tog	hovedtekster	MSRvid	2012 test	212	4.800	En kvinne hakker opp hvitløk.	Kvinnen kutter hvitløk.	
tog	hovedtekster	MSRvid	2012 test	214	3.800	Et dyr løper i sirkler.	Et ekorn løper i sirkler.	
tog	hovedtekster	MSRvid	2012 test	215	3.000	En mann går sakte over en taubro.	En gutt går over en bro.	
tog	hovedtekster	MSRvid	2012 test	216	4.000	En mann spiller gitar.	En mann som sitter i et rom spiller gitar.	
tog	hovedtekster	MSRvid	2012 test	217	5.000	En mann spiller fløyte.	En mann spiller på fløyte.	
tog	hovedtekster	MSRvid	2012 test	221	3.800	En kvinne knekker to egg i en glassbolle.	En kvinne knekker et egg i en bolle.	
tog	hovedtekster	MSRvid	2012 test	223	3.000	En mann skjærer en fisk.	En mann sløyer en fisk.	
tog	hovedtekster	MSRvid	2012 test	224	4.400	To menn pakker kofferter inn i bagasjerommet på en bil.	Mennene legger kofferter inn i bilens bagasjerom.	
tog	hovedtekster	MSRvid	2012 test	226	3.800	En mann heller olje på noen tomater.	Mannen helte olje på de kuttede tomatene.	
tog	hovedtekster	MSRvid	2012 test	227	3.000	En mann skjærer noe.	En mann skjærer en bolle.	
tog	hovedtekster	MSRvid	2012 test	230	0,667	En mann padler i kano.	En mann spiller på harpe.	
tog	hovedtekster	MSRvid	2012 test	231	4.000	En mann og kvinne går sammen gjennom skogen.	En mann og en kvinne går arm i arm gjennom et skogsområde.	
tog	hovedtekster	MSRvid	2012 test	233	3.750	Kvinnen plukket opp kenguruen.	En kvinne plukker opp en kenguruunge.	
tog	hovedtekster	MSRvid	2012 test	234	4.133	Fiskene svømmer.	En fisk svømmer.	
tog	hovedtekster	MSRvid	2012 test	235	4.000	To kvinner blander noe i en foodprosessor.	To kvinner lager noe i en blender.	
tog	hovedtekster	MSRvid	2012 test	237	3.600	En person surfer på en stor bølge.	En person surfer.	
tog	hovedtekster	MSRvid	2012 test	238	1.200	En mann spiller gitar.	En mann stikker et mål.	
tog	hovedtekster	MSRvid	2012 test	239	1.600	En mann spiller fløyte i et band.	En mann spiller gitar.	
tog	hovedtekster	MSRvid	2012 test	240	4.000	Mannen smurte smør på brødet.	En mann smører smør på brød.	
tog	hovedtekster	MSRvid	2012 test	241	4.000	En person koker nudler.	En kvinne koker nudler i vann.	
tog	hovedtekster	MSRvid	2012 test	243	3.200	En gruppe mennesker danser på en høyde.	En gruppe mennesker danser.	
tog	hovedtekster	MSRvid	2012 test	245	1000	En mann danser ute.	En mann spiller fløyte.	
tog	hovedtekster	MSRvid	2012 test	246	1000	En kvinne mater en mann.	En kvinne blander kjøtt.	
tog	hovedtekster	MSRvid	2012 test	247	0,600	En mann setter en panne inn i en ovn.	En kvinne skjærer en løk.	
tog	hovedtekster	MSRvid	2012 test	249	0,400	En kvinne sitter ved et skrivebord.	En kvinne rir på et esel.	
tog	hovedtekster	MSRvid	2012 test	250	3.400	Medisiner frakter en pasient på båre.	En lege skynder en pasient på en båre.	
tog	hovedtekster	MSRvid	2012 test	252	3.600	En kvinne spiller fløyte på scenen.	Kvinnen spiller på fløyte.	
tog	hovedtekster	MSRvid	2012 test	254	3.000	To babypandaer leker.	To pandaer ligger sammen.	
tog	hovedtekster	MSRvid	2012 test	256	4.000	En baby ler.	En baby ler og fniser.	
tog	hovedtekster	MSRvid	2012 test	257	1.200	En mann spiller gitar.	En gutt spiller piano.	
tog	hovedtekster	MSRvid	2012 test	259	0,600	En mann bretter papir.	En kvinne skjærer en paprika.	
tog	hovedtekster	MSRvid	2012 test	260	1.600	Tre kvinner danser.	Mannen danser.	
tog	hovedtekster	MSRvid	2012 test	262	2.600	Kattene leker med hverandre.	To katter kjemper mot hverandre.	
tog	hovedtekster	MSRvid	2012 test	263	3.600	En person skriver.	En person skriver med en blyant.	
tog	hovedtekster	MSRvid	2012 test	267	3.500	En mann løper.	En mann løper nedover en vei.	
tog	hovedtekster	MSRvid	2012 test	268	3.765	Kvinnen ruller deig.	En kvinne meler og kjevler deig.	
tog	hovedtekster	MSRvid	2012 test	269	2.750	En kvinne tilsetter krydder på et kjøtt.	Kvinne tilsetter sukker til kjøtt.	
tog	hovedtekster	MSRvid	2012 test	270	2.250	En kvinne legger olje på fisk.	En kvinne heller vann på fisk.	
tog	hovedtekster	MSRvid	2012 test	271	2.750	En ung gutt holder en gitar.	En liten gutt spiller gitar.	
tog	hovedtekster	MSRvid	2012 test	272	3.800	En gepard løper.	En gepard løper over et jorde.	
tog	hovedtekster	MSRvid	2012 test	273	4.800	Mannen spiser pizza.	En mann spiser en pizzaskive.	
tog	hovedtekster	MSRvid	2012 test	274	3.600	En orangutang kjører buss.	En ape rir på en buss.	
tog	hovedtekster	MSRvid	2012 test	275	1.200	En mann og en kvinne snakker i en spisestue.	En mann og en kvinne sykler.	
tog	hovedtekster	MSRvid	2012 test	277	0,400	En mann spiller gitar.	En mann vasker en glassdør.	
tog	hovedtekster	MSRvid	2012 test	278	2.400	En jente synger og spiller gitar.	En ung mann synger mens han spiller gitar.	
tog	hovedtekster	MSRvid	2012 test	282	3,941	En jente kommuniserer med tegnspråk.	En ung jente bruker tegnspråk.	
tog	hovedtekster	MSRvid	2012 test	283	0,500	En kvinne gjør vektøvelser.	En kvinne klipper håret.	
tog	hovedtekster	MSRvid	2012 test	284	3.750	En mann setter seg inn i en bil.	En eldre mann setter seg inn i en rød bil.	
tog	hovedtekster	MSRvid	2012 test	285	4.000	En stor grønn ball velter en potet.	En stor grønn ball treffer en potet.	
tog	hovedtekster	MSRvid	2012 test	287	3.000	En katt spiller keyboard.	En katt spiller piano.	
tog	hovedtekster	MSRvid	2012 test	288	4.200	To hunder svømmer i et basseng.	Hunder svømmer i et basseng.	
tog	hovedtekster	MSRvid	2012 test	290	2.000	Mannen brukte en hakker til å hakke løken.	Mannen brukte en maskin til å hakke opp en potet.	
tog	hovedtekster	MSRvid	2012 test	291	5.000	En kvinne skjærer tofu.	En kvinne skjærer tofu.	
tog	hovedtekster	MSRvid	2012 test	292	3.000	En flokk hjort krysser gaten.	En flokk med rein krysser en vei.	
tog	hovedtekster	MSRvid	2012 test	293	3.800	Personen rir på hesten.	En mann rir på en hest.	
tog	hovedtekster	MSRvid	2012 test	294	0,000	Noen mater et dyr.	Noen spiller piano.	
tog	hovedtekster	MSRvid	2012 test	295	0,000	Noen skjærer tortila.	Noen rir på en hest.	
tog	hovedtekster	MSRvid	2012 test	296	0,250	Noen blander ingredienser.	Noen syr ting.	
tog	hovedtekster	MSRvid	2012 test	297	4.000	En hane hakker på en død mus.	En kylling hakker på en død mus.	
tog	hovedtekster	MSRvid	2012 test	298	3.250	En kvinne holder en kenguru.	En kvinne plukker opp en kenguru.	
tog	hovedtekster	MSRvid	2012 test	299	0,750	En mann leker med frosker	En katt leker med et kamera.	
tog	hovedtekster	MSRvid	2012 test	300	1.500	To menn snakker.	To menn spiller gitar.	
tog	hovedtekster	MSRvid	2012 test	303	3.500	En mann smører smør på et stort stykke brød.	En mann smører smør på en skive hvitløksbrød.	
tog	hovedtekster	MSRvid	2012 test	304	3.000	En mann løper over en høy ledning.	En mann løper på tau.	
tog	hovedtekster	MSRvid	2012 test	307	0,200	En mann klipper en plen.	En kvinne skjærer en sitron.	
tog	hovedtekster	MSRvid	2012 test	309	0,800	En mann åpner en dør.	En mann spiller gitar.	
tog	hovedtekster	MSRvid	2012 test	311	4.200	En mann skjærer en potet i biter.	En mann skjærer en potet.	
tog	hovedtekster	MSRvid	2012 test	312	3.800	Kvinnen skjærer kokt blekksprut.	En kvinne hugger blekksprut.	
tog	hovedtekster	MSRvid	2012 test	314	0,400	En mann slår gjennom brett.	En hund løper gjennom vann.	
tog	hovedtekster	MSRvid	2012 test	316	0,800	En mann danser.	En mann spiser brød.	
tog	hovedtekster	MSRvid	2012 test	317	1.200	Noen spiller piano.	En mann spiller gitar.	
tog	hovedtekster	MSRvid	2012 test	318	2.800	To rever spiser fra en tallerken på en mursteinsterrasse.	Rever spiser fra en tallerken.	
tog	hovedtekster	MSRvid	2012 test	319	3.200	En gutt spiller et keyboard.	En gutt spiller piano.	
tog	hovedtekster	MSRvid	2012 test	320	5.000	En person spiller et keyboard.	Noen spiller et keyboard.	
tog	hovedtekster	MSRvid	2012 test	322	0,000	En mann skyter en pistol.	En mann spytter.	
tog	hovedtekster	MSRvid	2012 test	323	1000	Noen skjærer en løk.	Noen skreller en potet.	
tog	hovedtekster	MSRvid	2012 test	325	0,000	En mann svømmer.	En kvinne skjærer kjøtt.	
tog	hovedtekster	MSRvid	2012 test	327	3.750	En mann spiller gitar.	En mann spiller en akustisk gitar.	
tog	hovedtekster	MSRvid	2012 test	328	0,400	En kvinne skjærer et gresskar.	En kvinne rir på en elefant.	
tog	hovedtekster	MSRvid	2012 test	329	0,400	En kvinne danser.	En kvinne elter deig.	
tog	hovedtekster	MSRvid	2012 test	331	0,600	En kvinne knekker egg i en bolle.	En kvinne legger spyd på et stativ.	
tog	hovedtekster	MSRvid	2012 test	332	4.000	En bil beveger seg gjennom en vei.	En bil kjører nedover veien.	
tog	hovedtekster	MSRvid	2012 test	334	0,400	Noen smører en panne.	Smeone legger seg.	
tog	hovedtekster	MSRvid	2012 test	335	0,400	En mann spiller gitar.	En mann tapper pasta.	
tog	hovedtekster	MSRvid	2012 test	336	0,400	En kvinne drikker vodka.	En kvinne trener.	
tog	hovedtekster	MSRvid	2012 test	339	4.800	En kvinne skjærer kjøtt i biter.	En kvinne skjærer opp litt kjøtt.	
tog	hovedtekster	MSRvid	2012 test	342	0,600	En mann skyller en biff.	En mann spiller gitar.	
tog	hovedtekster	MSRvid	2012 test	344	0,800	En mann selger varer.	En mann vasker huset.	
tog	hovedtekster	MSRvid	2012 test	347	3.200	En mann hopper en vegg.	En mann hopper på en kort vegg.	
tog	hovedtekster	MSRvid	2012 test	348	3.200	Løpere raser rundt en bane.	Løpere konkurrerer i et løp.	
tog	hovedtekster	MSRvid	2012 test	349	0,600	En mann sparker en fotball.	En mann blander en bolle.	
tog	hovedtekster	MSRvid	2012 test	350	0,600	En kvinne steker noe.	En kvinne rir på en hest.	
tog	hovedtekster	MSRvid	2012 test	351	0,000	En katt slikker en suge.	En kvinne skjærer agurk.	
tog	hovedtekster	MSRvid	2012 test	352	1.400	En kvinne danser ved bålet.	En kvinne tar et bad.	
tog	hovedtekster	MSRvid	2012 test	355	2.200	Mannen skjærer opp en fisk.	En mann skjærer en potet.	
tog	hovedtekster	MSRvid	2012 test	357	3.600	Smør smelter i en panne.	En mann smelter smør i en panne.	
tog	hovedtekster	MSRvid	2012 test	359	3.111	Tre gutter danser.	Barna danser.	
tog	hovedtekster	MSRvid	2012 test	360	0,600	En kvinne spiller et spill med en mann.	En mann spiller piano.	
tog	hovedtekster	MSRvid	2012 test	361	0,400	Mannen kjører en hvit bil.	En mann holder et intervju.	
tog	hovedtekster	MSRvid	2012 test	365	4.250	En mann kjørte bilen sin.	En mann kjører bil.	
tog	hovedtekster	MSRvid	2012 test	366	3.000	En bil rygger ut av et rom.	En bil rygger ut av et sperret kjørefelt.	
tog	hovedtekster	MSRvid	2012 test	368	5.000	En mann legger litt ost på en pizza.	Mannen strødde ost på pizzaen.	
tog	hovedtekster	MSRvid	2012 test	369	5.000	Gutten spiller piano.	En gutt spiller piano.	
tog	hovedtekster	MSRvid	2012 test	371	3.750	Mannen spilte gitaren sin.	En mann spiller gitar.	
tog	hovedtekster	MSRvid	2012 test	373	0,200	En mann rir på en hest.	En mann spiller et keyboard.	
tog	hovedtekster	MSRvid	2012 test	374	0,400	En mann går på et tau.	En mann kjører en mo-pad.	
tog	hovedtekster	MSRvid	2012 test	376	1.286	En jente spiller på fløyte.	Et band spiller på en scene.	
tog	hovedtekster	MSRvid	2012 test	377	4.600	Folk går av toget.	En gruppe mennesker går av toget.	
tog	hovedtekster	MSRvid	2012 test	378	0,600	En kvinne syr på en maskin.	En kvinne panerer litt kjøtt.	
